id,measurement_id,name,value_type
1,1,addons,7
2,2,plugins,7
3,3,gm-plugins,7
4,4,theme,4
5,4,lwtheme,4
6,4,plugin,4
7,4,extension,4
8,5,theme,4
9,5,lwtheme,4
10,5,plugin,4
11,5,extension,4
12,5,service,4
13,6,lastActive,5
14,7,lastActive,5
15,7,lastActiveBranch,5
16,8,firstDocumentUploadAttempt,1
17,8,continuationUploadAttempt,1
18,8,uploadSuccess,1
19,8,uploadTransportFailure,1
20,8,uploadServerFailure,1
21,8,uploadClientFailure,1
22,9,firstDocumentUploadAttempt,1
23,9,continuationUploadAttempt,1
24,9,uploadSuccess,1
25,9,uploadTransportFailure,1
26,9,uploadServerFailure,1
27,9,uploadClientFailure,1
28,9,uploadAlreadyInProgress,1
29,10,pages,4
30,10,bookmarks,4
31,11,amazon.com.abouthome,1
32,11,amazon.com.contextmenu,1
33,11,amazon.com.searchbar,1
34,11,amazon.com.urlbar,1
35,11,bing.abouthome,1
36,11,bing.contextmenu,1
37,11,bing.searchbar,1
38,11,bing.urlbar,1
39,11,google.abouthome,1
40,11,google.contextmenu,1
41,11,google.searchbar,1
42,11,google.urlbar,1
43,11,yahoo.abouthome,1
44,11,yahoo.contextmenu,1
45,11,yahoo.searchbar,1
46,11,yahoo.urlbar,1
47,11,other.abouthome,1
48,11,other.contextmenu,1
49,11,other.searchbar,1
50,11,other.urlbar,1
51,14,default,5
52,16,enabled,4
53,16,preferredProtocol,5
54,16,activeProtocol,5
55,16,syncStart,1
56,16,syncSuccess,1
57,16,syncError,1
58,17,translationOpportunityCount,1
59,17,missedTranslationOpportunityCount,1
60,17,pageTranslatedCount,1
61,17,charactersTranslatedCount,1
62,17,translationOpportunityCountsByLanguage,5
63,17,missedTranslationOpportunityCountsByLanguage,5
64,17,pageTranslatedCountsByLanguage,5
65,17,detectedLanguageChangedBefore,1
66,17,detectedLanguageChangedAfter,1
67,17,targetLanguageChanged,1
68,17,deniedTranslationOffer,1
69,17,showOriginalContent,1
70,17,detectLanguageEnabled,4
71,17,showTranslationUI,4
72,17,autoRejectedTranslationOffer,1
73,18,updateCheckStartCount,1
74,18,updateCheckSuccessCount,1
75,18,updateCheckFailedCount,1
76,18,updateCheckFailedStatuses,2
77,18,completeUpdateStartCount,1
78,18,partialUpdateStartCount,1
79,18,completeUpdateSuccessCount,1
80,18,partialUpdateSuccessCount,1
81,18,updateFailedCount,1
82,18,updateFailedStatuses,2
83,13,google.urlbar,1


## Command

## When I went to the EXECUTE SQL filter and filtered for '%amazon%' I was able to make the connection that the user used firefox to access amazon.